Depth (m),qc (MPa),fs (kPa),u (kPa),Other,qt (MPa),Rf (%),SBT,Ic SBT,γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',vo (kPa)",Qt1,Fr (%),Bq,SBTn,n,Cn,Ic,Qtn,u (kPa),U2,I(B),Mod. SBTn
3.875,1.05041,13.86,232.1,1096.8,1.13,1.26,4,2.76,19,73.63,28.2,45.42,23.25,1.35,0.2,4,0.84,1.94,2.55,20.53,232.1,4.56,31.23,4
3.9,1.04926,13.86,263.5,1101.93,1.09,1.24,4,2.77,19,74.1,28.45,45.65,22.19,1.33,0.23,4,0.85,1.94,2.56,19.68,263.5,5.03,30.85,4
3.925,1.00614,12.76,278.51,1061.81,1.08,1.2,4,2.77,19,74.58,28.69,45.88,21.82,1.29,0.25,4,0.85,1.93,2.56,19.36,278.51,5.39,30.91,4
3.95,1.00574,12.15,285.57,1062.82,1.02,1.2,4,2.79,19,75.05,28.94,46.11,20.52,1.29,0.26,4,0.85,1.94,2.58,18.34,285.57,5.26,30.25,4
3.975,0.8894,11.74,249.76,939.32,0.98,1.29,4,2.82,19,75.53,29.18,46.34,19.48,1.4,0.25,4,0.87,1.95,2.61,17.59,249.76,4.89,29.18,4
4,0.88558,13.93,232.3,932.01,0.98,1.38,4,2.83,19,76,29.43,46.57,19.47,1.49,0.22,4,0.87,1.95,2.62,17.66,232.3,4.19,28.72,4
4.025,1.0383,14.89,192.08,1076.69,1.04,1.43,4,2.82,19,76.48,29.68,46.8,20.62,1.54,0.19,4,0.87,1.93,2.61,18.65,192.08,3.86,29.02,4
4.05,1.07416,15.8,206.3,1115.4,1.07,1.37,4,2.8,19,76.95,29.92,47.03,21.2,1.47,0.17,4,0.86,1.91,2.59,19.09,206.3,3.59,29.64,4
4.075,0.98982,13.41,198.06,1029.41,1.02,1.37,4,2.82,19,77.43,30.17,47.26,19.9,1.49,0.17,4,0.87,1.92,2.62,18.05,198.06,3.29,28.96,4
4.1,0.87846,12.76,152.06,908.85,0.94,1.41,4,2.85,19,77.9,30.41,47.49,18.11,1.54,0.16,4,0.88,1.93,2.65,16.61,152.06,2.83,27.86,4
4.125,0.84604,13.47,144.89,875,0.88,1.54,4,2.9,19,78.38,30.66,47.72,16.72,1.69,0.15,4,0.9,1.95,2.7,15.55,144.89,2.54,26.55,4
4.15,0.81285,14.14,158.14,844.46,0.86,1.56,4,2.91,19,78.85,30.9,47.95,16.36,1.71,0.19,4,0.91,1.95,2.71,15.27,158.14,3.07,26.27,4
4.175,0.82352,12.73,231.81,869.85,0.86,1.5,4,2.9,19,79.33,31.15,48.18,16.16,1.65,0.22,4,0.9,1.94,2.71,15.08,231.81,3.58,26.42,4
4.2,0.81551,11.76,221.12,859.71,0.86,1.35,4,2.88,19,79.8,31.39,48.41,16.02,1.48,0.25,4,0.9,1.92,2.69,14.88,221.12,3.96,27.02,4
4.225,0.79378,10.05,216.02,836.96,0.85,1.23,4,2.87,19,80.28,31.64,48.64,15.74,1.36,0.25,4,0.89,1.9,2.67,14.58,216.02,3.96,27.35,4
4.25,0.79415,9.52,236.22,841.37,0.84,1.21,4,2.86,19,80.75,31.88,48.87,15.6,1.34,0.27,4,0.89,1.9,2.67,14.45,236.22,4.18,27.37,4
4.275,0.80025,11.04,255.65,851.35,0.84,1.25,4,2.87,19,81.23,32.13,49.1,15.45,1.38,0.29,4,0.9,1.89,2.68,14.36,255.65,4.51,27.12,4
4.3,0.77315,10.86,268.4,826.8,0.85,1.27,4,2.87,19,81.7,32.37,49.33,15.68,1.4,0.3,4,0.9,1.88,2.68,14.57,268.4,4.75,27.17,4
4.325,0.83155,10.63,276.05,886.73,0.86,1.27,4,2.87,19,82.18,32.62,49.56,15.7,1.4,0.31,4,0.9,1.88,2.68,14.59,276.05,4.91,27.18,4
4.35,0.81018,11.28,283.61,866.87,0.89,1.32,4,2.86,19,82.65,32.86,49.79,16.2,1.45,0.31,4,0.89,1.87,2.68,15.05,283.61,4.98,27.27,4
4.375,0.85747,13.28,282.72,913.98,0.95,1.44,4,2.85,19,83.13,33.11,50.02,17.38,1.58,0.3,4,0.89,1.86,2.67,16.13,282.72,5.22,27.37,4
4.4,1.01349,16.64,315.59,1076.57,1.12,1.42,4,2.79,19,83.6,33.35,50.25,20.57,1.53,0.26,4,0.87,1.82,2.61,18.79,315.59,5.42,29.14,4
4.425,1.29769,17.6,319.02,1361.46,1.31,1.34,4,2.71,19,84.08,33.6,50.48,24.36,1.43,0.21,5,0.84,1.78,2.54,21.86,319.02,5.22,31.45,4
4.45,1.45178,18.56,256.14,1502.98,1.44,1.27,4,2.67,19,84.55,33.84,50.71,26.73,1.35,0.17,5,0.82,1.75,2.49,23.72,256.14,4.59,33.09,6
4.475,1.40947,18.54,225.14,1454.47,1.41,1.31,4,2.68,19,85.03,34.09,50.94,26.04,1.4,0.14,5,0.83,1.75,2.51,23.23,225.14,3.7,32.43,6
4.5,1.23932,18.54,187.08,1276.71,1.24,1.46,4,2.75,19,85.5,34.34,51.17,22.65,1.56,0.14,4,0.86,1.78,2.58,20.6,187.08,3.17,29.93,4
4.525,0.96696,17.33,177.46,1002.43,1.15,1.49,4,2.79,19,85.98,34.58,51.39,20.78,1.61,0.13,4,0.87,1.79,2.61,19.08,177.46,2.78,28.86,4
4.55,1.1493,15.77,167.46,1182.77,1.07,1.49,4,2.81,19,86.45,34.83,51.62,19.12,1.63,0.14,4,0.88,1.79,2.64,17.7,167.46,2.74,28.04,4
4.575,0.999,15.03,183.74,1035.73,1.09,1.4,4,2.79,19,86.93,35.07,51.85,19.33,1.52,0.16,4,0.88,1.78,2.62,17.81,183.74,3,28.67,4
4.6,1.00473,14.81,221.02,1048.91,1.05,1.34,4,2.8,19,87.4,35.32,52.08,18.39,1.46,0.2,4,0.88,1.77,2.63,17,221.02,3.66,28.48,4
4.625,0.99671,12.07,273.7,1051.42,1.05,1.24,4,2.78,19,87.88,35.56,52.31,18.44,1.35,0.24,4,0.87,1.76,2.62,16.98,273.7,4.51,29.03,4
4.65,0.99367,12.23,320.3,1057.69,1.07,1.13,4,2.76,19,88.35,35.81,52.54,18.64,1.23,0.28,4,0.86,1.74,2.59,17.08,320.3,5.29,29.74,4
4.675,1.02495,11.92,347.76,1094.46,1.06,1.17,4,2.77,19,88.83,36.05,52.77,18.34,1.28,0.32,4,0.87,1.74,2.61,16.87,347.76,5.83,29.33,4
4.7,0.94484,13.05,362.38,1017.27,1.03,1.28,4,2.8,19,89.3,36.3,53,17.71,1.4,0.31,4,0.88,1.75,2.64,16.42,362.38,5.56,28.43,4
4.725,0.91623,14.39,283.02,972.8,0.99,1.44,4,2.84,19,89.78,36.54,53.23,16.93,1.59,0.3,4,0.9,1.76,2.68,15.87,283.02,5.04,27.18,4
4.75,0.92882,15.47,268.5,982.49,1,1.62,4,2.86,19,90.25,36.79,53.46,16.93,1.78,0.27,4,0.91,1.76,2.7,15.97,268.5,4.56,26.4,4
4.775,0.97344,18.39,290.28,1031.46,1.04,1.68,4,2.85,19,90.73,37.03,53.69,17.63,1.85,0.27,4,0.9,1.76,2.7,16.62,290.28,4.75,26.44,4
4.8,1.03487,18.56,316.67,1098.17,1.09,1.72,4,2.84,19,91.2,37.28,53.92,18.55,1.88,0.27,4,0.9,1.74,2.68,17.44,316.67,5.03,26.72,4
4.825,1.08102,19.33,319.22,1144.83,1.2,1.57,4,2.78,19,91.68,37.52,54.15,20.41,1.7,0.25,4,0.88,1.71,2.63,18.94,319.22,5.19,28.3,4
4.85,1.28319,18.59,319.71,1347.09,1.32,1.43,4,2.73,19,92.15,37.77,54.38,22.57,1.54,0.24,4,0.86,1.69,2.57,20.69,319.71,5.36,30.11,4
4.875,1.39647,18.88,348.94,1466.22,1.45,1.3,4,2.67,19,92.63,38.01,54.61,24.83,1.39,0.22,5,0.84,1.66,2.52,22.49,348.94,5.49,32.11,0
4.9,1.46287,18.91,345.12,1531.85,1.52,1.15,4,2.63,19,93.1,38.26,54.84,25.94,1.23,0.22,5,0.82,1.64,2.48,23.3,345.12,5.69,33.75,6
4.925,1.47813,14.72,357.18,1549.52,1.56,0.99,4,2.59,19,93.58,38.5,55.07,26.54,1.06,0.22,5,0.81,1.62,2.44,23.64,357.18,5.86,35.42,6
4.95,1.50826,12.73,381.02,1584.42,1.58,0.82,5,2.54,19,94.05,38.75,55.3,26.95,0.88,0.23,5,0.79,1.6,2.39,23.8,381.02,6.14,37.21,6
4.975,1.5403,11.7,396.42,1619.54,1.62,0.73,5,2.51,19,94.53,38.99,55.53,27.54,0.78,0.23,5,0.78,1.58,2.36,24.17,396.42,6.46,38.5,6
5,1.58492,11.19,416.43,1668.16,1.65,0.68,5,2.49,19,95,39.24,55.76,27.91,0.72,0.22,5,0.77,1.57,2.34,24.41,416.43,6.11,39.31,6
5.025,1.60065,10.67,327.46,1666.1,1.67,0.67,5,2.48,19,95.48,39.49,55.99,28.11,0.71,0.2,5,0.77,1.56,2.34,24.59,327.46,5.67,39.51,6
5.05,1.60806,11.82,327.75,1673.57,1.67,0.77,5,2.51,19,95.95,39.73,56.22,28.05,0.82,0.18,5,0.78,1.57,2.37,24.7,327.75,5.12,38.48,6
5.075,1.61287,16.14,328.05,1678.44,1.69,0.94,5,2.55,19,96.43,39.98,56.45,28.21,1,0.21,5,0.79,1.57,2.4,25.08,328.05,6.06,36.89,6
5.1,1.61708,19.85,489.91,1715,1.77,1.1,4,2.56,19,96.9,40.22,56.68,29.49,1.17,0.23,5,0.8,1.58,2.42,26.33,489.91,6.87,36.05,6
5.125,1.81811,22.62,470.78,1912.21,1.86,1.18,4,2.56,19,97.38,40.47,56.91,31.01,1.25,0.22,5,0.8,1.57,2.42,27.69,470.78,6.83,36.07,6
5.15,1.89403,23.49,327.36,1959.46,1.92,1.22,4,2.55,19,97.85,40.71,57.14,31.88,1.28,0.19,5,0.8,1.56,2.41,28.47,327.36,5.91,36.13,6
5.175,1.81888,23.92,337.27,1886.29,1.92,1.26,4,2.56,19,98.33,40.96,57.37,31.8,1.32,0.17,5,0.8,1.56,2.42,28.47,337.27,5.35,35.73,6
5.2,1.8467,25.01,378.18,1922.29,1.93,1.33,4,2.57,19,98.8,41.2,57.6,31.72,1.4,0.19,5,0.81,1.56,2.43,28.51,378.18,5.99,35.03,6
